localidad,departamento
Armstrong,Belgrano
Bouquet,Belgrano
Las Parejas,Belgrano
Las Rosas,Belgrano
Montes de Oca,Belgrano
Tortugas,Belgrano
Arequito,Caseros
Arteaga,Caseros
Beravebú,Caseros
Bigand,Caseros
Casilda,Caseros
Chabas,Caseros
Chañar Ladeado,Caseros
Gödeken,Caseros
Los Molinos,Caseros
Los Nogales,Caseros
Los Quirquinchos,Caseros
San José de la Esquina,Caseros
Sanford,Caseros
Villada,Caseros
Aldao,Castellanos
Angélica,Castellanos
Ataliva,Castellanos
Aurelia,Castellanos
Barrios Acapulco y Veracruz,Castellanos
Bauer y Sigel,Castellanos
Bella Italia,Castellanos
Castellanos,Castellanos
Colonia Bicha,Castellanos
Colonia Cello,Castellanos
Colonia Margarita,Castellanos
Colonia Raquel,Castellanos
Coronel Fraga,Castellanos
Egusquiza,Castellanos
Esmeralda,Castellanos
Estación Clucellas,Castellanos
Estación Saguier,Castellanos
Eusebia y Carolina,Castellanos
Eustolia,Castellanos
Frontera,Castellanos
Garibaldi,Castellanos
Humberto Primo,Castellanos
Josefina,Castellanos
Lehmann,Castellanos
María Juana,Castellanos
Nueva Lehmann,Castellanos
Plaza Clucellas,Castellanos
Plaza Saguier,Castellanos
Presidente Roca,Castellanos
Pueblo Marini,Castellanos
Rafaela,Castellanos
Ramona,Castellanos
San Antonio,Castellanos
San Vicente,Castellanos
Santa Clara de Saguier,Castellanos
Sunchales,Castellanos
Susana,Castellanos
Tacural,Castellanos
Vila,Castellanos
Villa Josefina,Castellanos
Villa San José,Castellanos
Virginia,Castellanos
Zenón Pereyra,Castellanos
Alcorta,Villa Constitución
Barrio Arroyo del Medio,Villa Constitución
Barrio Mitre,Villa Constitución
Bombal,Villa Constitución
Cañada Rica,Villa Constitución
Cepeda,Villa Constitución
Empalme Villa Constitución,Villa Constitución
Firmat,Villa Constitución
General Gelly,Villa Constitución
Godoy,Villa Constitución
Juan B. Molina,Villa Constitución
Juncal,Villa Constitución
La Vanguardia,Villa Constitución
Máximo Paz,Villa Constitución
Pavón,Villa Constitución
Pavón Arriba,Villa Constitución
Peyrano,Villa Constitución
Rueda,Villa Constitución
Santa Teresa,Villa Constitución
Sargento Cabral,Villa Constitución
Stephenson,Villa Constitución
Theobald,Villa Constitución
Villa Constitución,Villa Constitución
Cayastá,Garay
Helvecia,Garay
Los Zapallos,Garay
Saladero Mariano Cabal,Garay
Santa Rosa de Calchines,Garay
Aarón Castellanos,General López
Amenábar,General López
Cafferata,General López
Cañada del Ucle,General López
Carmen,General López
Carreras,General López
Chapuy,General López
Chovet,General López
Christophersen,General López
Diego de Alvear,General López
Elortondo,General López
Firmat,General López
Hughes,General López
La Chispa,General López
Labordeboy,General López
Lazzarino,General López
Maggiolo,General López
María Teresa,General López
Melincué,General López
Miguel Torres,General López
Murphy,General López
Rufino,General López
San Eduardo,General López
San Francisco de Santa Fe,General López
San Gregorio,General López
Sancti Spiritu,General López
Santa Isabel,General López
Teodelina,General López
Venado Tuerto,General López
Villa Cañás,General López
Wheelwright,General López
Arroyo Ceibal,General Obligado
Avellaneda,General Obligado
Berna,General Obligado
El Araza,General Obligado
El Rabón,General Obligado
Florencia,General Obligado
Guadalupe Norte,General Obligado
Ingeniero Chanourdie,General Obligado
La Isleta,General Obligado
La Sarita,General Obligado
Lanteri,General Obligado
Las Garzas,General Obligado
Las Toscas,General Obligado
Los Laureles,General Obligado
Malabrigo,General Obligado
Paraje San Manuel,General Obligado
Puerto Reconquista,General Obligado
Reconquista,General Obligado
San Antonio de Obligado,General Obligado
Tacuarendí,General Obligado
Villa Ana,General Obligado
Villa Guillermina,General Obligado
Villa Ocampo,General Obligado
Barrio Cicarelli,Iriondo
Bustinza,Iriondo
Cañada de Gómez,Iriondo
Carrizales,Iriondo
Classon,Iriondo
Colonia Médici,Iriondo
Correa,Iriondo
Larguía,Iriondo
Lucio V. López,Iriondo
Oliveros,Iriondo
Pueblo Andino,Iriondo
Salto Grande,Iriondo
Serodino,Iriondo
Totoras,Iriondo
Villa Eloísa,Iriondo
Villa La Rivera (Oliveros),Iriondo
Villa La Rivera (Pueblo Andino),Iriondo
Angel Gallardo,La Capital
Arroyo Aguiar,La Capital
Arroyo Leyes,La Capital
Cabal,La Capital
Campo Andino,La Capital
Candioti,La Capital
Emilia,La Capital
Laguna Paiva,La Capital
Llambi Campbell,La Capital
Monte Vera,La Capital
Nelson,La Capital
Paraje Chaco Chico,La Capital
Paraje La Costa,La Capital
Recreo,La Capital
Rincón Potrero,La Capital
San José del Rincón,La Capital
Santa Fe,La Capital
Santo Tomé,La Capital
Sauce Viejo,La Capital
Villa Laura,La Capital
Cavour,Las Colonias
Cululú,Las Colonias
Elisa,Las Colonias
Empalme San Carlos,Las Colonias
Esperanza,Las Colonias
Felicia,Las Colonias
Franck,Las Colonias
Grutly,Las Colonias
Hipatía,Las Colonias
Humboldt,Las Colonias
Jacinto L. Aráuz,Las Colonias
La Pelada,Las Colonias
Las Tunas,Las Colonias
María Luisa,Las Colonias
Matilde,Las Colonias
Nuevo Torino,Las Colonias
Pilar,Las Colonias
Plaza Matilde,Las Colonias
Progreso,Las Colonias
Providencia,Las Colonias
Sa Pereyra,Las Colonias
San Agustín,Las Colonias
San Carlos Centro,Las Colonias
San Carlos Norte,Las Colonias
San Carlos Sud,Las Colonias
San Jerónimo del Sauce,Las Colonias
San Jerónimo Norte,Las Colonias
San Mariano,Las Colonias
